"","Ensembl_ID","Symbol"
"463","MIMAT0019759","hsa-miR-4676-3p"
"464","MI0003619","hsa-mir-606"
"465","MIMAT0003274","hsa-miR-606"
"466","MI0000826","hsa-mir-346"
"467","MIMAT0000773","hsa-miR-346"
"468","MI0017309","hsa-mir-4678"
"469","MIMAT0019762","hsa-miR-4678"
"470","MI0017311","hsa-mir-4679-2"
"471","MIMAT0019763","hsa-miR-4679"
"472","MI0017310","hsa-mir-4679-1"
"473","MIMAT0019763_1","hsa-miR-4679"
"474","MI0000114","hsa-mir-107"
"475","MIMAT0000104","hsa-miR-107"
"476","MI0014185","hsa-mir-3157"
"477","MIMAT0015031","hsa-miR-3157-5p"
"478","MIMAT0019210","hsa-miR-3157-3p"
"479","MI0003620","hsa-mir-607"
"480","MIMAT0003275","hsa-miR-607"
"481","MI0039500","hsa-mir-3085"
"482","MIMAT0048635","hsa-miR-3085-5p"
"483","MIMAT0048636","hsa-miR-3085-3p"
"484","MI0006349","hsa-mir-1287"
"485","MIMAT0005878","hsa-miR-1287-5p"
"486","MIMAT0026738","hsa-miR-1287-3p"
"487","MI0017317","hsa-mir-4685"
"488","MIMAT0019771","hsa-miR-4685-5p"
"489","MIMAT0019772","hsa-miR-4685-3p"
"490","MI0022219","hsa-mir-6507"
"491","MIMAT0025470","hsa-miR-6507-5p"
"492","MIMAT0025471","hsa-miR-6507-3p"
"493","MI0003621","hsa-mir-608"
"494","MIMAT0003276","hsa-miR-608"
"495","MI0014186","hsa-mir-3158-1"
"496","MIMAT0015032","hsa-miR-3158-3p"
"497","MIMAT0019211","hsa-miR-3158-5p"
"498","MI0014187","hsa-mir-3158-2"
"499","MIMAT0015032_1","hsa-miR-3158-3p"
"500","MIMAT0019211_1","hsa-miR-3158-5p"
"501","MI0003129","hsa-mir-146b"
"502","MIMAT0002809","hsa-miR-146b-5p"
"503","MIMAT0004766","hsa-miR-146b-3p"
"504","MI0006444","hsa-mir-1307"
"505","MIMAT0005951","hsa-miR-1307-3p"
"506","MIMAT0022727","hsa-miR-1307-5p"
"507","MI0005758","hsa-mir-936"
