"","Ensembl_ID","Symbol","Biotype"
"1217","ENSG00000158315","RHBDL2","protein_coding"
"1221","ENSG00000174574","AKIRIN1","protein_coding"
"1222","ENSG00000168653","NDUFS5","protein_coding"
"1223","ENSG00000127603","MACF1","protein_coding"
"1229","ENSG00000183682","BMP8A","protein_coding"
"1232","ENSG00000090621","PABPC4","protein_coding"
"1235","ENSG00000163909","HEYL","protein_coding"
"1237","ENSG00000116981","NT5C1A","protein_coding"
"1238","ENSG00000116983","HPCAL4","protein_coding"
"1239","ENSG00000084072","PPIE","protein_coding"
"1242","ENSG00000116985","BMP8B","protein_coding"
"1243","ENSG00000198754","OXCT2","protein_coding"
"1248","ENSG00000043514","TRIT1","protein_coding"
"1250","ENSG00000116990","MYCL","protein_coding"
"1253","ENSG00000168389","MFSD2A","protein_coding"
"1255","ENSG00000131236","CAP1","protein_coding"
"1256","ENSG00000131238","PPT1","protein_coding"
"1258","ENSG00000117000","RLF","protein_coding"
"1260","ENSG00000188800","TMCO2","protein_coding"
"1262","ENSG00000084073","ZMPSTE24","protein_coding"
"1264","ENSG00000049089","COL9A2","protein_coding"
